nama_model,kode_model
BMW R 1200 GS,1045
Kawasaki Versys 650,1416
Others,711
Honda CB 1100,2016
Yamaha MT-09,695
Harley-Davidson XL 1200,940
KTM 1290 Super Adventure,136
Aprilia Tuono,141
BMW F 900 R,136
Aprilia Tuono,600
Gilera Fuoco 500,2051
Yamaha Tracer 700,1799
TGB Bullet 50,690
Harley-Davidson VRSC Night Rod,1044
Kawasaki Versys 1000,342
Bimota YB 9,2014
Yamaha MT-03,136
BMW F 750 GS,721
Honda CB 750 four,1883
Triumph Tiger 800,727
Honda CBR 1000,212
BMW R 1200 R,498
Ducati 900 MHR,669
Harley-Davidson Softail,1757
Suzuki Hayabusa,1986
Yamaha,623
Harley-Davidson,733
Honda CBR 650,942
KTM 1290 Super Duke R,416
Can Am Renegade,1856
Triumph Speed Triple 1050,136
Adly Hurricane 500,712
Honda CB 125,2051
Yamaha Ténéré 700,215
BMW R 1200 RT,972
KTM 790 Adventure,689
Harley-Davidson V-Rod,680
Harley-Davidson Street 750,1061
Kawasaki Z H2,1767
Suzuki M 1800 R,846
Horwin CR6,1033
Kawasaki Ninja ZX-10R,719
Honda CB 650,649
Harley-Davidson Fat Boy,643
Harley-Davidson Electra Glide,533
Ducati Scrambler,1696
Simson,209
BMW R 1200 GS,525
Ducati Multistrada 1200,929
KTM,138
BMW F 800 R,525
Ducati Multistrada 1200,2051
Yamaha Tracer 700,209
BMW R 1200 GS,1883
Triumph Tiger 800,1215
MBK Booster,781
Honda NC 750,215
BMW R 1200 RT,260
BMW S 1000 XR,643
Harley-Davidson Electra Glide,1026
Kawasaki Ninja 1000SX,315
Beta RR 300,2040
Yamaha TMAX 500,210
BMW R 1200 GS Adventure,1883
Triumph Tiger 800,799
Honda SH 150,2015
Yamaha MT-07,1843
Triumph Bonneville T120,1653
SYM Maxsym TL,516
Ducati Monster 1200,330
Big Dog Ridgeback,638
Harley-Davidson Dyna Street Bob,631
Harley-Davidson Custom Bike,136
BMW F 800 GS,493
Ducati 848,1828
Trike,775
Honda Integra,2027
Yamaha Niken,942
KTM 1290 Super Duke R,940
KTM 1290 Super Adventure,1061
Kawasaki Z H2,599
Gilera,705
Honda,2051
Yamaha YZF-R1,2051
Yamaha XT 1200,972
KTM 790 Adventure,689
Harley-Davidson V-Rod,521
Ducati Monster 821,1052
Kawasaki Z 1000,731
Honda CBR 500 R,2027
Yamaha Niken,710
Honda CB 1000,137
BMW F 800 GT,209
